Id,Category
1,3
2,8
3,0
4,8
5,4
6,6
7,1
8,2
9,5
10,9
11,0
12,1
13,5
14,7
15,9
16,8
17,7
18,5
19,8
20,6
21,1
22,2
23,2
24,9
25,4
26,6
27,3
28,2
29,9
30,6
31,6
32,4
33,4
34,3
35,9
36,9
37,6
38,1
39,9
40,5
41,4
42,6
43,7
44,4
45,0
46,9
47,5
48,3
49,4
50,2
51,9
52,7
53,0
54,3
55,8
56,8
57,5
58,1
59,5
60,2
61,7
62,3
63,1
64,9
65,6
66,2
67,1
68,2
69,3
70,9
71,4
72,3
73,8
74,8
75,0
76,2
77,9
78,3
79,2
80,8
81,8
82,1
83,1
84,4
85,2
86,7
87,3
88,0
89,8
90,9
91,0
92,4
93,8
94,6
95,4
96,3
97,4
98,2
99,0
100,7
101,4
102,4
103,6
104,7
105,1
106,1
107,3
108,6
109,8
110,7
111,4
112,2
113,2
114,2
115,9
116,1
117,0
118,0
119,3
120,2
121,8
122,4
123,7
124,2
125,8
126,6
127,8
128,3
129,5
130,0
131,4
132,1
133,9
134,9
135,1
136,0
137,9
138,7
139,2
140,8
141,4
142,5
143,6
144,5
145,5
146,2
147,6
148,5
149,7
150,2
151,1
152,9
153,6
154,9
155,0
156,5
157,2
158,1
159,3
160,4
161,0
162,2
163,5
164,4
165,9
166,7
167,8
168,4
169,7
170,7
171,9
172,4
173,0
174,2
175,9
176,9
177,3
178,5
179,0
180,9
181,9
182,7
183,6
184,0
185,6
186,8
187,6
188,2
189,7
190,0
191,4
192,5
193,7
194,0
195,7
196,2
197,8
198,0
199,3
200,2
201,3
202,0
203,0
204,7
205,1
206,5
207,0
208,2
209,7
210,8
211,2
212,0
213,5
214,7
215,5
216,0
217,7
218,9
219,0
220,7
221,7
222,6
223,3
224,6
225,3
226,9
227,5
228,2
229,3
230,2
231,3
232,1
233,7
234,1
235,8
236,0
237,4
238,4
239,6
240,5
241,1
242,1
243,4
244,9
245,0
246,9
247,4
248,8
249,2
250,1
251,5
252,3
253,6
254,4
255,6
256,0
257,6
258,0
259,8
260,1
261,3
262,1
263,3
264,3
265,0
266,8
267,2
268,8
269,7
270,0
271,2
272,3
273,3
274,5
275,8
276,5
277,0
278,2
279,2
280,3
281,9
282,5
283,3
284,1
285,9
286,9
287,1
288,8
289,0
290,9
291,1
292,2
293,6
294,1
295,1
296,4
297,6
298,0
299,0
300,2
301,4
302,6
303,5
304,5
305,6
306,8
307,2
308,2
309,1
310,2
311,8
312,6
313,0
314,0
315,3
316,0
317,7
318,7
319,5
320,5
321,5
322,5
323,6
324,2
325,6
326,5
327,7
328,5
329,9
330,3
331,1
332,9
333,6
334,6
335,6
336,9
337,3
338,9
339,8
340,7
341,3
342,5
343,0
344,9
345,8
346,3
347,7
348,3
349,8
350,1
351,1
352,1
353,9
354,2
355,6
356,3
357,5
358,5
359,1
360,1
361,4
362,5
363,8
364,8
365,9
366,0
367,7
368,1
369,2
370,6
371,4
372,7
373,9
374,4
375,2
376,4
377,8
378,9
379,8
380,6
381,2
382,9
383,0
384,0
385,2
386,0
387,7
388,4
389,2
390,5
391,1
392,0
393,6
394,5
395,5
396,6
397,2
398,3
399,9
400,6
401,9
402,0
403,2
404,8
405,0
406,6
407,0
408,1
409,8
410,2
411,3
412,9
413,7
414,2
415,9
416,1
417,6
418,1
419,7
420,7
421,4
422,3
423,0
424,0
425,2
426,8
427,5
428,4
429,1
430,6
431,2
432,5
433,5
434,6
435,8
436,7
437,7
438,2
439,3
440,1
441,6
442,2
443,9
444,9
445,3
446,2
447,4
448,0
449,2
450,0
451,2
452,9
453,7
454,2
455,9
456,4
457,2
458,3
459,6
460,8
461,3
462,3
463,1
464,2
465,0
466,6
467,7
468,5
469,5
470,3
471,3
472,7
473,8
